31-03-2026 19:36:11 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos/5
31-03-2026 19:36:11 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:36:20 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos/2
31-03-2026 19:36:20 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:36:20 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos/3
31-03-2026 19:36:20 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:36:26 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:36:59 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:37:00 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:37:01 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:37:02 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:37:03 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:37:07 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:37:08 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:37:09 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:37:10 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:37:25 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:37:28 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:37:32 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:37:34 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:38:07 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
31-03-2026 19:38:21 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:38:25 | POST | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:38:25 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:38:27 | DELETE | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias/19
31-03-2026 19:38:27 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/categorias
31-03-2026 19:38:28 | GET | 2026-3ano/Aula-BackEnd2/aula07/cafeteria-api-backend/produtos
